 148 RST=0 LOAD=0 EN=1 UP=1 DIN=61 | CNT= 0 exp= 0              
 149 RST=0 LOAD=0 EN=1 UP=1 DIN=52 | CNT= 1 exp= 1              
 150 RST=0 LOAD=0 EN=0 UP=1 DIN= 9 | CNT= 2 exp= 2              
 151 RST=1 LOAD=0 EN=0 UP=0 DIN=49 | CNT= 2 exp= 2              
 152 RST=0 LOAD=1 EN=0 UP=0 DIN=38 | CNT= 0 exp= 0              
 153 RST=0 LOAD=0 EN=0 UP=1 DIN=47 | CNT=38 exp=38              
 154 RST=0 LOAD=0 EN=1 UP=0 DIN= 6 | CNT=38 exp=38              
 155 RST=0 LOAD=0 EN=0 UP=1 DIN= 1 | CNT=37 exp=37              
 156 RST=0 LOAD=0 EN=0 UP=0 DIN=37 | CNT=37 exp=37              
 157 RST=0 LOAD=0 EN=0 UP=1 DIN= 5 | CNT=37 exp=37              
 158 RST=0 LOAD=0 EN=1 UP=1 DIN= 4 | CNT=37 exp=37              
 159 RST=0 LOAD=0 EN=0 UP=1 DIN= 2 | CNT=38 exp=38              
 160 RST=0 LOAD=1 EN=1 UP=0 DIN=30 | CNT=38 exp=38              
 161 RST=0 LOAD=0 EN=1 UP=1 DIN=61 | CNT=30 exp=30              
 162 RST=0 LOAD=0 EN=0 UP=0 DIN=32 | CNT=31 exp=31              
 163 RST=0 LOAD=0 EN=1 UP=0 DIN=19 | CNT=31 exp=31              
 164 RST=0 LOAD=0 EN=1 UP=1 DIN=35 | CNT=30 exp=30              
 165 RST=0 LOAD=0 EN=0 UP=1 DIN=14 | CNT=31 exp=31              
 166 RST=0 LOAD=0 EN=1 UP=0 DIN=36 | CNT=31 exp=31              
 167 RST=0 LOAD=0 EN=1 UP=0 DIN= 2 | CNT=30 exp=30              
 168 RST=0 LOAD=0 EN=1 UP=0 DIN=57 | CNT=29 exp=29              
 169 RST=0 LOAD=0 EN=0 UP=1 DIN=31 | CNT=28 exp=28              
 170 RST=0 LOAD=0 EN=1 UP=1 DIN=11 | CNT=28 exp=28              
 171 RST=0 LOAD=0 EN=1 UP=1 DIN=14 | CNT=29 exp=29              
 172 RST=0 LOAD=0 EN=0 UP=1 DIN=16 | CNT=30 exp=30              
 173 RST=0 LOAD=0 EN=1 UP=0 DIN= 7 | CNT=30 exp=30              
 174 RST=0 LOAD=0 EN=0 UP=1 DIN= 0 | CNT=29 exp=29              
 175 RST=0 LOAD=0 EN=1 UP=1 DIN=39 | CNT=29 exp=29              
 176 RST=0 LOAD=0 EN=1 UP=0 DIN=14 | CNT=30 exp=30              
 177 RST=0 LOAD=0 EN=1 UP=0 DIN=13 | CNT=29 exp=29              
 178 RST=0 LOAD=0 EN=1 UP=0 DIN=31 | CNT=28 exp=28              
 179 RST=0 LOAD=0 EN=1 UP=1 DIN=43 | CNT=27 exp=27              
 180 RST=0 LOAD=0 EN=1 UP=1 DIN= 4 | CNT=28 exp=28              
 181 RST=1 LOAD=0 EN=0 UP=1 DIN=39 | CNT=29 exp=29              
 182 RST=0 LOAD=0 EN=0 UP=0 DIN=50 | CNT= 0 exp= 0              
 183 RST=0 LOAD=0 EN=0 UP=1 DIN=42 | CNT= 0 exp= 0              
 184 RST=0 LOAD=0 EN=0 UP=1 DIN=54 | CNT= 0 exp= 0              
 185 RST=0 LOAD=0 EN=0 UP=0 DIN=62 | CNT= 0 exp= 0              
 186 RST=1 LOAD=0 EN=0 UP=0 DIN=52 | CNT= 0 exp= 0              
 187 RST=0 LOAD=0 EN=0 UP=1 DIN=34 | CNT= 0 exp= 0              
 188 RST=0 LOAD=0 EN=0 UP=0 DIN=23 | CNT= 0 exp= 0              
 189 RST=0 LOAD=0 EN=1 UP=1 DIN=39 | CNT= 0 exp= 0              
 190 RST=0 LOAD=0 EN=0 UP=0 DIN=16 | CNT= 1 exp= 1              
 191 RST=0 LOAD=0 EN=1 UP=1 DIN= 3 | CNT= 1 exp= 1              
 192 RST=0 LOAD=0 EN=1 UP=1 DIN= 9 | CNT= 2 exp= 2              
 193 RST=0 LOAD=0 EN=1 UP=0 DIN=43 | CNT= 3 exp= 3              
 194 RST=0 LOAD=0 EN=1 UP=1 DIN=33 | CNT= 2 exp= 2              
 195 RST=0 LOAD=1 EN=1 UP=1 DIN=43 | CNT= 3 exp= 3              
 196 RST=0 LOAD=1 EN=1 UP=1 DIN=32 | CNT=43 exp=43              
 197 RST=0 LOAD=1 EN=1 UP=1 DIN=63 | CNT=32 exp=32              
 198 RST=1 LOAD=0 EN=0 UP=1 DIN=50 | CNT=63 exp=63              
 199 RST=0 LOAD=0 EN=0 UP=0 DIN=42 | CNT= 0 exp= 0              
 200 RST=0 LOAD=0 EN=0 UP=0 DIN=31 | CNT= 0 exp= 0              
 201 RST=0 LOAD=0 EN=0 UP=0 DIN=12 | CNT= 0 exp= 0              
 202 RST=0 LOAD=0 EN=0 UP=1 DIN=63 | CNT= 0 exp= 0              
 203 RST=0 LOAD=0 EN=1 UP=0 DIN=62 | CNT= 0 exp= 0              
 204 RST=0 LOAD=0 EN=0 UP=1 DIN=56 | CNT=63 exp=63              
 205 RST=0 LOAD=0 EN=0 UP=0 DIN=39 | CNT=63 exp=63              
 206 RST=0 LOAD=0 EN=0 UP=1 DIN=50 | CNT=63 exp=63              
 207 RST=0 LOAD=0 EN=1 UP=0 DIN=22 | CNT=63 exp=63              
 208 RST=0 LOAD=0 EN=0 UP=1 DIN=15 | CNT=62 exp=62              
 209 RST=0 LOAD=0 EN=0 UP=1 DIN=24 | CNT=62 exp=62              
 210 RST=0 LOAD=0 EN=1 UP=1 DIN=38 | CNT=62 exp=62              
 211 RST=0 LOAD=0 EN=1 UP=0 DIN=18 | CNT=63 exp=63              
 212 RST=0 LOAD=0 EN=1 UP=1 DIN=55 | CNT=62 exp=62              
 213 RST=0 LOAD=0 EN=0 UP=1 DIN=22 | CNT=63 exp=63              
 214 RST=0 LOAD=0 EN=1 UP=1 DIN=38 | CNT=63 exp=63              
 215 RST=1 LOAD=1 EN=1 UP=0 DIN= 0 | CNT= 0 exp= 0              
 216 RST=0 LOAD=0 EN=1 UP=0 DIN=51 | CNT= 0 exp= 0              
 217 RST=0 LOAD=0 EN=1 UP=1 DIN= 8 | CNT=63 exp=63              
 218 RST=0 LOAD=0 EN=1 UP=0 DIN=46 | CNT= 0 exp= 0              
 219 RST=0 LOAD=0 EN=0 UP=0 DIN=32 | CNT=63 exp=63              
 220 RST=0 LOAD=0 EN=0 UP=0 DIN=53 | CNT=63 exp=63              
 221 RST=0 LOAD=0 EN=1 UP=1 DIN= 5 | CNT=63 exp=63              
 222 RST=0 LOAD=0 EN=0 UP=1 DIN=39 | CNT= 0 exp= 0              
 223 RST=0 LOAD=0 EN=1 UP=0 DIN=32 | CNT= 0 exp= 0              
 224 RST=0 LOAD=0 EN=0 UP=0 DIN=33 | CNT=63 exp=63              
 225 RST=0 LOAD=0 EN=1 UP=1 DIN=20 | CNT=63 exp=63              
 226 RST=0 LOAD=0 EN=1 UP=1 DIN=46 | CNT= 0 exp= 0              
 227 RST=0 LOAD=0 EN=0 UP=1 DIN=31 | CNT= 1 exp= 1              
 228 RST=0 LOAD=0 EN=0 UP=1 DIN= 9 | CNT= 1 exp= 1              
 229 RST=0 LOAD=0 EN=0 UP=0 DIN= 0 | CNT= 1 exp= 1              
PASS: 229 cycles, 0 mismatches
updown/tb/tb_updown.v:81: $finish called at 2300000 (1ps)
